latitude,longitude,api
3968981.6945177736,-10850361.751947157,42097339340000
3969071.191612117,-10850584.279609255,42097339360000
3968427.3623074456,-10851145.886440305,42097339380000
3965765.202190973,-10850175.18048059,42097339410000
3975989.5481710266,-10850626.692335246,42097339440000
3960559.7834572736,-10850572.813701702,42097339450000
3961875.1688823854,-10851119.948998952,42097339530000
3961494.1802718723,-10851639.811020955,42097339560000
3974846.6915655914,-10850354.850138728,42097339850000
3967933.1608595825,-10849370.785840116,42097339860000
3961562.3941980894,-10848775.894481316,42097339870000
3967151.030137166,-10851505.448395569,42097339980000
3963946.5303392396,-10848253.360791532,42097340000000
3961838.8582841023,-10847146.84505305,42097340010000
3967434.973790491,-10848401.52703378,42097340030000
3972591.382465352,-10849372.678271461,42097340040000
3960771.8849067055,-10846362.265281936,42097340060000
3967171.864899689,-10851241.73252188,42097340170000
3969694.3510715896,-10851293.496085096,42097340330000
3961214.654219964,-10846495.95999038,42097340340000
3964117.5694343597,-10848997.086309522,42097340350000
3964258.1678705537,-10849309.67143967,42097340360000
3963350.5169348633,-10848829.3278369,42097340370000
3963757.201960092,-10849118.75851296,42097340400000
3967016.0057607936,-10848428.132392079,42097340460000
3975506.784017487,-10849705.18959046,42097340470000
3975499.299461126,-10849699.73493541,42097340540000
3963483.095214244,-10848752.740027232,42097340660000
3972940.9351719166,-10849496.02026726,42097340690000
3972950.288792051,-10849495.463669805,42097340710000
3964362.583011331,-10849452.49434636,42097340780000
3963990.858729659,-10849542.77445339,42097340790000
3963994.4637568425,-10849534.425491583,42097340810000
3964124.646047892,-10849455.945250574,42097340820000
3964128.785201215,-10849447.596288763,42097340830000
3973459.805307003,-10848891.55543225,42097340840000
3973469.025718857,-10848889.99695938,42097340850000
3973450.584902524,-10848892.55730767,42097340900000
3972919.8227429423,-10849459.84143275,42097340910000
3972496.2461013473,-10849287.18490253,42097340920000
3966761.5872658757,-10849112.747260457,42097340930000
3972080.969028607,-10849115.530247727,42097340970000
3972497.0478089964,-10849296.090461794,42097340980000
3972497.8495167093,-10849305.32997953,42097340990000
3973540.1166781522,-10849782.890595034,42097341010000
3973526.486422669,-10849795.24705851,42097341020000
3973533.1679184404,-10849788.901847536,42097341050000
3974681.106375355,-10849873.170702068,42097341060000
3974335.3764428673,-10850101.375658192,42097341070000
3974202.27251517,-10849627.265946904,42097341080000
3973590.762572548,-10850452.254693173,42097341090000
3973169.700172238,-10850324.459917743,42097341100000
3974183.563250935,-10849613.239691064,42097341120000
3974672.285923475,-10849870.94431225,42097341130000
3973520.3394499742,-10849801.592269486,42097341140000
3979467.0634556236,-10850334.14471344,42097341150000
3974202.27251517,-10849618.026429167,42097341160000
3974663.1981922365,-10849868.829241926,42097341170000
3974121.1547105336,-10851597.620933946,42097341190000
